# SNRtot_MF, evidence220_221, evidence220, nofilter]
2.926990348092826100e+00 -3.948515574396894294e+02 -3.974751950330917794e+02 -4.006674570940762692e+02
1.252781248782081569e+01 -3.853885650806374201e+02 -3.865642171139083985e+02 -4.614004644303307714e+02
3.324314134660237841e+01 -3.607195952701494548e+02 -3.625628475373323454e+02 -9.091010742320266900e+02
4.370675327414883782e+01 -4.129550541758635518e+02 -4.150087970280961258e+02 -1.365205405712918719e+03
1.194361852887162456e+01 -3.950914403626761668e+02 -3.961434262949622394e+02 -4.658441457653141242e+02
7.130833981979165515e+00 -3.798910656351117154e+02 -3.810326656779016616e+02 -4.023583364641317530e+02
1.123263509846852592e+01 -3.504433908553649530e+02 -3.514392439456053694e+02 -4.093960638631024835e+02
1.105883731876108733e+01 -3.573481202800079473e+02 -3.551196247453076467e+02 -4.108951982005825698e+02
3.273553783018785879e+01 -3.901364873038664882e+02 -3.905510842545127161e+02 -9.211936636691976901e+02
9.983868200831521378e+00 -3.656333510580822690e+02 -3.645478847834617682e+02 -4.121867257677841963e+02
3.465120641714080563e+01 -3.797723529647695955e+02 -3.813236399975650670e+02 -9.739123993493074067e+02
2.100393798803926071e+00 -3.703571687971057145e+02 -3.717926806574506600e+02 -3.733308407769681594e+02
1.244183003815648014e+01 -3.931115839644411949e+02 -3.914024781434488887e+02 -4.632141572843971744e+02
3.562224581777406485e+01 -4.330344745346700961e+02 -4.351016984776269965e+02 -1.060055944777235936e+03
3.311530662548043580e+01 -3.941458438283280543e+02 -3.933017510149149416e+02 -9.359778637902835499e+02
1.386680440097191180e+01 -4.036927977092010451e+02 -4.040403160897205908e+02 -4.977687315893538198e+02
3.313754651928551453e+01 -3.659551545762800515e+02 -3.669271206148707734e+02 -9.116243486120457646e+02
5.940715842767324562e-01 -4.140521226854884844e+02 -4.142972467052889556e+02 -4.145234200192460321e+02
1.166839830376269482e+01 -3.772356358444751550e+02 -3.789525247070616842e+02 -4.425373750004861222e+02
8.759246957216189955e+00 -3.868154732519973891e+02 -3.904822804678152579e+02 -4.244950559397619827e+02
4.404774780679317381e+00 -3.958738701486456648e+02 -3.953108683032095882e+02 -4.032486039910714339e+02
4.319400357247697286e+01 -4.389993297875657845e+02 -4.392279793423440424e+02 -1.363118762933238941e+03
1.343028632432383418e+01 -3.650965432890188822e+02 -3.663979914769338961e+02 -4.506797684540701425e+02
1.530028963554819832e+01 -3.853370863281850234e+02 -3.879245801578634314e+02 -5.015990840537222084e+02
5.604145911631077226e+00 -3.736153753264349007e+02 -3.757609333476580673e+02 -3.875270630874042581e+02
2.677267267667418693e+01 -3.839514779961140221e+02 -3.822761782830871766e+02 -7.358042767918433356e+02
3.762310585389699646e+00 -3.584931731667447821e+02 -3.593455617981209684e+02 -3.645166751135960226e+02
6.027001693224666390e+00 -3.931549654734222372e+02 -3.940556690610536634e+02 -4.078981807683720717e+02
7.081077811277453726e+00 -4.034059580797482454e+02 -4.048977045516374460e+02 -4.254938469389490479e+02
2.998937536641310331e+01 -4.153548258494468541e+02 -4.145225948093902844e+02 -8.579419290067124848e+02
1.041502684974004467e+01 -3.847234490780008400e+02 -3.858645201832420071e+02 -4.370778732844122487e+02
1.438949794962070783e+01 -4.050672651657523602e+02 -4.059379016863758238e+02 -5.036246774213502704e+02
1.038564438874069129e+00 -3.809943273042383112e+02 -3.818704514030253563e+02 -3.833614652014809963e+02
2.233032507057473737e+01 -4.000151881854241083e+02 -4.023432701138331709e+02 -6.475668424177983979e+02
1.090314604636445495e+01 -3.943145217922545953e+02 -3.949054865878406417e+02 -4.509825036575946910e+02
2.867974086388692889e+00 -3.895589690189579528e+02 -3.915947405961036907e+02 -3.943660950280885800e+02
4.612152422404049190e+01 -3.936632350003912393e+02 -3.942254899269937596e+02 -1.451805044250538003e+03
2.835669963553167960e+01 -3.742665113090747013e+02 -3.735461881679590874e+02 -7.708484248278282394e+02
1.279199799919140190e+01 -3.988390116263591381e+02 -4.002797446259403387e+02 -4.799393865785216349e+02
1.453482890747989131e+01 -3.760215933433557325e+02 -3.782998260817839196e+02 -4.811056989694995991e+02
1.919719124744388594e+01 -3.879679540907623050e+02 -3.864973735074074170e+02 -5.664445070844841439e+02
2.523199770664635722e+01 -4.079881131103649068e+02 -4.079298949259411984e+02 -7.224856601644547709e+02
