# SNRtot_MF, evidence_inj, evidence_filt, nofilter]
6.540697680158413618e+01 -2.533918362769957753e+02 -2.505018440123976120e+02 -2.386741753863132089e+03
7.872031573764354562e+01 -2.285619141933447054e+02 -2.294586742429524122e+02 -3.270232339370626505e+03
7.095969214872457087e+01 -2.449004988746655158e+02 -2.436674308971065841e+02 -2.744727532144727320e+03
6.029954169254421714e+01 -2.229098841618944107e+02 -2.197146533250480616e+02 -2.031817409426490258e+03
8.578943542441311365e+01 -2.365728957260515415e+02 -2.361422044245066729e+02 -3.870329174997024893e+03
8.550193042478666428e+01 -3.724555670760725548e+02 -3.533853573414691027e+02 -3.807914905194638777e+03
5.527810434200799250e+01 -2.831571633866167303e+02 -2.826689070653382032e+02 -1.800215093766141990e+03
7.687647082644947716e+01 -2.147065073573733969e+02 -2.138238332759600269e+02 -3.142196207044221410e+03
7.666824846476758637e+01 -2.246918381745079500e+02 -2.221154103705322598e+02 -3.136236300003686210e+03
7.388211550231652325e+01 -2.943104764062117624e+02 -2.913718120027119767e+02 -3.009103706598169538e+03
4.942297603017093621e+01 -3.300950451382377651e+02 -3.274434424613281749e+02 -1.545743903834729736e+03
6.034097750116811909e+01 -2.371122079605727322e+02 -2.335190124844790489e+02 -2.044591111892867730e+03
9.070631915122366706e+01 -2.663067677686853472e+02 -2.692937972195035741e+02 -4.284706677516296622e+03
6.499685172945527256e+01 -3.335672608740434839e+02 -3.301761025969605612e+02 -2.437763267653808725e+03
7.839349986666816505e+01 -2.684688700119899067e+02 -2.647282157750269107e+02 -3.327079695505738528e+03
5.990199852665509894e+01 -2.308008121478372630e+02 -2.275876968394534288e+02 -2.012636008769952241e+03
8.362124702969343559e+01 -2.847548086748671494e+02 -2.862849895364229837e+02 -3.662416160185787703e+03
5.931239582397689247e+01 -2.785893959186993811e+02 -2.756956638115855753e+02 -2.031302021765739482e+03
7.648330200460669914e+01 -2.458118253943212039e+02 -2.422450020503213182e+02 -3.161372546226409668e+03
6.309439141490312863e+01 -2.617737096291319290e+02 -2.590621206818742621e+02 -2.235630452343302750e+03
