# start_time, SNRtot_MF, SNR220_MF, SNR221_MF, nofilter, evidence220, evidence220_221, np.log10(occams220), np.log10(occams220_221)
5.000000000000000000e-01 5.816052957026652592e+01 5.677414487066833715e+01 2.208651459724952559e+01 -2.063268233409414734e+03 -3.948336842178991901e+02 -3.789541005062087606e+02 -2.197065080829259998e+00 -1.575110260784358340e+00
1.000000000000000000e+01 2.675606396756496252e+01 2.629396161346552674e+01 2.168602827571087577e+00 -7.311456816764739415e+02 -3.773500440882367002e+02 -3.759973686793060779e+02 -1.517523628331566954e+00 -1.078449059015234912e+00
3.100000000000000000e+01 4.758157451656113146e+00 4.759697240821487263e+00 1.834214386455969292e-01 -3.852217535119035006e+02 -3.758114211756240479e+02 -3.751388513858915985e+02 -6.037119394639295367e-01 -7.408532989829264004e-01
2.250000000000000000e+01 8.831110731347157738e+00 8.857780380784531005e+00 9.875511496800243316e-01 -4.164257543541668838e+02 -3.807631610786875740e+02 -3.817433924678529706e+02 -9.746738021206093894e-01 -7.787929282072030279e-01
1.950000000000000000e+01 9.818988409418254903e+00 9.768886440528072868e+00 1.385142300307810714e+00 -4.268770945309643139e+02 -3.820653712452223090e+02 -3.810521740477128105e+02 -1.142907048242153278e+00 -8.361678301467773133e-01
5.000000000000000000e+00 3.814584719714905248e+01 3.455932976399210332e+01 8.449469337274354785e+00 -1.101548247261838242e+03 -3.803875111004462610e+02 -3.763578131176673196e+02 -1.875128621977628640e+00 -1.201498435593686853e+00
3.850000000000000000e+01 3.805617522703787614e+00 3.805829899988978582e+00 -3.464196321178870108e-01 -3.791283144809417536e+02 -3.741353284542477695e+02 -3.733212161034435326e+02 -5.086556880264850866e-01 -3.449533661986585731e-01
4.400000000000000000e+01 1.511138367249744485e+00 1.511053052493715798e+00 1.258842792921911924e+00 -3.795058179644506140e+02 -3.788497676191215078e+02 -3.801221224197713582e+02 -4.566252862337210616e-01 -3.529071709917716015e-01
2.700000000000000000e+01 6.372340940832856404e+00 6.373120764488957590e+00 -1.196304596406000537e-01 -3.994207582603050923e+02 -3.830101929335689874e+02 -3.818330594367167237e+02 -8.495254409310907251e-01 -5.765508427408589931e-01
4.800000000000000000e+01 2.082337202414917154e+00 2.082229634493542925e+00 1.118027686446550817e+00 -3.786890814811435462e+02 -3.771877700588734683e+02 -3.784681440636462639e+02 -3.171340990283447736e-01 -4.035461604653767242e-01
3.450000000000000000e+01 3.796855540784854544e+00 3.797105701030150993e+00 2.050815277824642735e-01 -3.795248064102841568e+02 -3.744761874084789497e+02 -3.737703222740669275e+02 -6.433266092906327893e-01 -6.762439220563439823e-01
9.000000000000000000e+00 2.919086355082226092e+01 2.923718522205086146e+01 2.278099163163058716e+00 -7.994139881503762126e+02 -3.774802578174175096e+02 -3.760361217493347112e+02 -1.573089342843127847e+00 -1.118591270158624029e+00
1.550000000000000000e+01 1.537866891682309323e+01 1.550233194906122414e+01 1.590164630279451874e+00 -4.935956227054286387e+02 -3.792254712829735581e+02 -3.778014960233423949e+02 -1.239115643361154540e+00 -8.985232762077558499e-01
