# start_time, SNRtot_MF, SNR220_MF, SNR221_MF, evidence220_221, evidence220, evidence221, nofilter
1.100000000000000000e+01 9.091858467626342133e+01 8.550181563295035403e+01 7.084182343726278752e+00 -3.921710426311751689e+02 -3.927539449984715816e+02 -4.295085200698516132e+02 -4.519882235544784635e+03
1.600000000000000000e+01 5.214336225542015057e+01 5.078760340365316495e+01 2.797636718755625473e+00 -3.906669276470935870e+02 -3.926681719298434814e+02 -4.113953186461980636e+02 -1.745257890220101672e+03
6.400000000000000000e+01 2.100902872792814069e+00 2.100898159225312423e+00 9.034637555858965330e-01 -3.914593068118430210e+02 -3.907085785309027983e+02 -3.907566186110383910e+02 -3.919002339649073292e+02
1.800000000000000000e+01 4.702591427554726522e+01 4.629813806703032952e+01 1.726668870567530822e+00 -3.907870688313114442e+02 -3.923297894425514869e+02 -4.079919880721383834e+02 -1.492274122735309447e+03
6.300000000000000000e+01 1.875080431527067937e+00 1.875075202837933608e+00 8.154475019275414516e-01 -3.917518742912721450e+02 -3.908121915620054097e+02 -3.911744487678315068e+02 -3.915163762298421375e+02
8.700000000000000000e+01 7.840300418184161790e-01 7.840301137590754976e-01 -4.333111851147135041e-01 -3.976529329755846334e+02 -3.986624003640710043e+02 -3.995424886110312173e+02 -3.997847108094981650e+02
5.600000000000000000e+01 7.114671715849552047e-01 7.114380207246066012e-01 -6.806735387291146244e-01 -3.937548122244399451e+02 -3.945925917310441946e+02 -3.948977337410681230e+02 -3.956072847251903113e+02
8.000000000000000000e+01 -1.270813683645358461e-01 -1.270814690535472247e-01 6.144958526408034194e-02 -3.983972425340490986e+02 -3.997680817144612320e+02 -4.000954549888859333e+02 -4.000236593206726070e+02
5.100000000000000000e+01 1.231944458794908437e+00 1.231954548133522787e+00 -1.940887097495129998e+00 -3.915112250959745097e+02 -3.916619363553846824e+02 -3.924176798637305978e+02 -3.929325206569453712e+02
2.300000000000000000e+01 2.778451743030563392e+01 2.756161724042443950e+01 1.230948261447208925e-01 -3.863455352639726925e+02 -3.905760181634361174e+02 -4.011250033947588918e+02 -7.716389977527860538e+02
2.400000000000000000e+01 2.514619694244295545e+01 2.502556766798385013e+01 -1.829393531120069583e-01 -3.878712975410800254e+02 -3.925837738765026188e+02 -4.015801145164501236e+02 -7.038333486751906776e+02
8.900000000000000000e+01 7.156877404668909870e-01 7.156879039514826291e-01 -1.879902671268522063e+00 -3.975636758321223283e+02 -3.987190592791991435e+02 -3.999151510657832773e+02 -4.012687097869100512e+02
5.800000000000000000e+01 1.169151504202002867e+00 1.169137254975402440e+00 -2.201561615469997124e-01 -3.933593921009654650e+02 -3.934682831008506696e+02 -3.941791607060904994e+02 -3.944100176210293967e+02
3.500000000000000000e+01 1.013200281874514808e+01 1.012058207066106696e+01 -5.080709686506835743e-01 -3.918206854671988708e+02 -3.924205803513406750e+02 -3.959652323424391511e+02 -4.408691021463927768e+02
3.000000000000000000e+00 1.974106760306498813e+02 1.571918931687835652e+02 4.450482274891789558e+01 -3.908634216379558097e+02 -4.258103613911328580e+02 -4.413266972642672954e+02 -1.986948940794174632e+04
4.900000000000000000e+01 3.962645404986832709e+00 3.962469300376855408e+00 -2.394803291280315008e-02 -3.902907701780169987e+02 -3.912161993777739326e+02 -3.911836009900135878e+02 -4.012709690594108451e+02
9.800000000000000000e+01 9.131720919618435683e-02 9.131720062594281262e-02 6.470010817659334057e-01 -3.960597979413499843e+02 -3.958840645926253501e+02 -3.968666945756741029e+02 -3.991927209601001323e+02
4.000000000000000000e+00 1.965178262503827114e+02 1.567963606128067511e+02 4.378482047251301879e+01 -3.909780177400158436e+02 -4.143498305724352804e+02 -4.405100088763678059e+02 -1.969426167949290902e+04
3.200000000000000000e+01 1.222471283856645385e+01 1.221232782269043327e+01 -1.240011339666284573e-01 -3.905131736607099810e+02 -3.895474412630745178e+02 -3.939185185485288230e+02 -4.615825333555820862e+02
4.000000000000000000e+01 6.920965736595224627e+00 6.919495297741629081e+00 -2.529706549170713803e-01 -3.942497599379993289e+02 -3.953030560995268274e+02 -3.974801586801783060e+02 -4.170223230710693656e+02
9.100000000000000000e+01 2.708614632157133606e-01 2.708615044245845094e-01 -1.074329084586864491e+00 -3.987954157607233014e+02 -3.996057478705906192e+02 -4.003427144525248877e+02 -4.013714605458279152e+02
4.700000000000000000e+01 5.129258435747247269e+00 5.129278947381588516e+00 -1.293918318631661402e+00 -3.906314933932027316e+02 -3.932114575287561706e+02 -3.916573269707214422e+02 -4.073700099726549411e+02
9.600000000000000000e+01 9.038326440909920378e-02 9.038324465839578381e-02 6.626522535382054491e-01 -3.966904178835898165e+02 -3.963372551775782426e+02 -3.976716349845242462e+02 -3.997361466285025244e+02
7.200000000000000000e+01 6.590111513498059237e-01 6.590110425210136125e-01 -1.823504580821424734e-02 -3.972994532750077497e+02 -3.974343519269873468e+02 -3.981722536079084307e+02 -3.964936280421369474e+02
7.500000000000000000e+01 2.154248808906598367e-01 2.154247247798553866e-01 2.150932046495512562e-01 -3.990742937201855511e+02 -3.999080500470773814e+02 -4.002929192701473653e+02 -3.996276628329028995e+02
